MGRS_TILE,count,date,row_id,mean,median,p25,p75,stdDev
31UFT,0,2026-03-17,3,,,,,
31UFT,0,2026-03-17,4,,,,,
31UFT,0,2026-03-17,5,,,,,
31UFT,0,2026-03-17,6,,,,,
31UFT,190,2026-03-19,0,0.7210071906192582,0.7189962503632192,0.7003200191185429,0.736746538135196,0.05650825987437706
31UFT,9,2026-03-19,1,0.24781360172945838,0.2743484127529614,0.20094005136960666,0.29758013040806036,0.04740210708030733
31UFT,92,2026-03-19,2,0.39615541672273885,0.39954853349067565,0.33498677451451675,0.4563662586017099,0.07707889197524904
31UFT,20,2026-03-19,3,0.2735179035284435,0.25245901527215125,0.24392819953174633,0.30464216191919746,0.04104359104827454
31UFT,16,2026-03-19,4,0.40682043658945116,0.40147782544982136,0.38994120027053736,0.4104092221910326,0.04775885290929466
31UFT,13,2026-03-19,5,0.5067154905186994,0.5077303690620006,0.4850863382814487,0.5107913788256647,0.061679534656701895
31UFT,35,2026-03-19,6,0.1625540545445012,0.1793103374449262,-0.0040322510989793834,0.26829265830332255,0.13643496077710707
31UFT,0,2026-03-20,0,,,,,
31UFT,0,2026-03-20,1,,,,,
31UFT,0,2026-03-20,2,,,,,
31UFT,0,2026-03-20,3,,,,,
31UFT,0,2026-03-20,4,,,,,
31UFT,0,2026-03-20,5,,,,,
31UFT,0,2026-03-20,6,,,,,
31UFT,190,2026-03-22,0,0.7189506652154793,0.7203935854898466,0.7005229756319581,0.7323348281111044,0.057374989411792574
31UFT,9,2026-03-22,1,0.25761885886409164,0.26968503438982105,0.2238095243726818,0.3175033932618999,0.06445729094421306
31UFT,92,2026-03-22,2,0.3890630940177827,0.3996478747956132,0.3212036425569224,0.45420724436634147,0.08701795293546627
31UFT,20,2026-03-22,3,0.26112439161606793,0.254811403093442,0.23432746811362412,0.30123796726740604,0.04172481913512512
31UFT,16,2026-03-22,4,0.3752406524455039,0.3702497594740683,0.3414436094986986,0.4038854816047126,0.05439778818551141
31UFT,13,2026-03-22,5,0.4852292109803484,0.45856352908893444,0.4347825981324472,0.4946236365316152,0.06073994594176262
31UFT,35,2026-03-22,6,0.14137790125820518,0.17310445945758335,0.04500978216783687,0.24129030118251532,0.13085831980640253
31UFT,190,2026-03-22,0,0.726702322961809,0.7317475374450135,0.7062093121235553,0.7429108628135472,0.0517486757968179
31UFT,9,2026-03-22,1,0.23751937742380694,0.26036011834392103,0.1981776796303799,0.28444138761267695,0.06574836929875025
31UFT,92,2026-03-22,2,0.38207160696268433,0.38954930599141213,0.3155343920490365,0.4474034763506689,0.08728421012793856
31UFT,20,2026-03-22,3,0.26475814743445547,0.2654290005298772,0.21882004394228854,0.3033863248791385,0.0469287919100297
